grammar,div,model,ppl-10-epochs
000111,0,transformer,24.79
010010,4,transformer,26.24
010110,2,lstm,23.19
000101,1,lstm,22.8
101101,1,transformer,24.34
001010,1,transformer,24.15
100110,1,lstm,22.22
011001,4,lstm,22.64
010000,4,lstm,23.03
111101,3,transformer,26.32
010000,3,transformer,26.51
011001,3,transformer,24.47
111000,0,lstm,23.38
111101,4,lstm,23.49
010010,3,lstm,23.64
111011,2,lstm,23.37
110110,0,transformer,26.92
011011,1,transformer,23.71
110011,1,lstm,23.16
011111,3,lstm,22.85
110010,2,lstm,23.37
000110,2,transformer,23.43
111110,4,transformer,26.98
111000,1,lstm,22.89
110110,1,transformer,26.32
011011,0,transformer,24.03
111001,2,transformer,26.17
001101,2,lstm,23.22
110011,0,lstm,23.43
110100,4,lstm,23.14
000111,1,transformer,24.37
101011,2,lstm,23.29
000101,0,lstm,23.19
101101,0,transformer,24.96
110100,3,transformer,27.31
010011,2,transformer,25.05
001010,0,transformer,25.14
011111,4,transformer,23.81
100110,0,lstm,22.65
111110,3,lstm,23.7
110100,0,lstm,23.38
110011,4,lstm,23.17
010101,3,transformer,26.29
011100,0,transformer,24.76
111110,0,transformer,27.1
011010,3,lstm,22.84
110111,2,lstm,23.25
010001,0,lstm,23.47
111101,1,lstm,23.23
011110,2,lstm,22.55
001111,0,transformer,25.24
011010,4,transformer,24.49
100001,2,transformer,23.35
001001,1,lstm,23.02
000000,1,lstm,22.12
000010,1,transformer,23.32
110011,3,transformer,25.71
010100,2,transformer,25.8
010101,4,lstm,23.12
101100,2,lstm,22.77
001111,1,transformer,25.04
111000,3,transformer,26.66
011101,2,transformer,24.09
000000,0,lstm,22.51
001001,0,lstm,23.53
110110,3,lstm,24.21
000010,0,transformer,23.67
010111,4,transformer,25.1
110110,4,transformer,26.49
010111,3,lstm,23.48
111100,2,lstm,23.12
110100,1,lstm,23.13
011100,1,transformer,24.03
111110,1,transformer,26.17
010001,1,lstm,23
111101,0,lstm,23.73
111000,4,lstm,23.25
110001,2,transformer,25.57
111100,1,lstm,22.98
010100,1,transformer,25.72
100111,3,transformer,22.83
000010,2,transformer,23.51
001110,4,lstm,22.95
000000,2,lstm,22.36
011101,0,transformer,24.27
000100,4,transformer,23.3
110000,2,transformer,26.27
110001,1,transformer,25.45
011110,1,lstm,22.4
100000,0,transformer,22.69
101001,0,transformer,25.45
000100,3,lstm,22.67
101101,2,lstm,23.23
101111,1,lstm,23.08
100010,0,lstm,22.59
100111,4,lstm,22.79
001110,3,transformer,25.12
101001,1,transformer,24.5
100000,1,transformer,21.96
101111,0,lstm,23.57
101010,4,lstm,22.91
010001,2,lstm,23.15
101110,2,transformer,23.47
100101,4,transformer,22.98
001011,3,lstm,23.6
100100,2,lstm,22.44
100010,1,lstm,22.26
100101,3,lstm,23.2
111100,0,lstm,23.7
010100,0,transformer,26.42
001011,4,transformer,25.26
011101,1,transformer,23.7
101010,3,transformer,24.18
001111,2,transformer,25.25
110001,0,transformer,25.97
011110,0,lstm,22.83
111111,2,lstm,23.34
001101,0,lstm,23.39
001100,3,lstm,23.25
100011,2,lstm,22.87
011011,2,transformer,24.05
100101,0,transformer,23.32
100111,1,lstm,22.67
000110,0,transformer,23.59
000001,3,transformer,25.92
101010,0,lstm,23.13
101111,4,lstm,23.13
011000,1,transformer,24.13
111010,2,lstm,23.15
000001,4,lstm,22.96
101111,3,transformer,23.93
001010,2,transformer,24.35
110101,2,transformer,25.59
010011,0,transformer,25.64
001100,4,transformer,24.38
111011,0,lstm,23.66
000101,2,lstm,22.94
010110,1,lstm,22.95
011000,0,transformer,24.62
000011,4,transformer,24.63
100000,3,lstm,22.77
101001,3,lstm,23.65
010011,1,transformer,24.82
111011,1,lstm,23.14
010110,0,lstm,23.36
000111,2,transformer,24.73
001101,1,lstm,22.97
100101,1,transformer,22.7
100110,2,transformer,21.96
100111,0,lstm,23.1
100010,4,lstm,22.48
101001,4,transformer,24.22
100000,4,transformer,22.93
000110,1,transformer,23.42
101010,1,lstm,22.85
110110,4,lstm,23.32
010111,3,transformer,25.85
111100,2,transformer,25.91
110100,1,transformer,26.19
011100,1,lstm,22.45
111110,1,lstm,23.09
010001,1,transformer,25.02
111101,0,transformer,26.29
111000,4,transformer,25.99
110001,2,lstm,23.23
001111,1,lstm,22.82
111000,3,lstm,23.38
011101,2,lstm,22.75
000000,0,transformer,23.38
001001,0,transformer,25.72
110110,3,transformer,27.79
000010,0,lstm,22.6
010111,4,lstm,23.01
011110,2,transformer,24.55
001111,0,lstm,23.29
011010,4,lstm,22.52
100001,2,lstm,22.96
001001,1,transformer,25.25
000000,1,transformer,23.05
000010,1,lstm,22.2
110011,3,lstm,23.59
010100,2,lstm,22.97
010101,4,transformer,25.31
101100,2,transformer,23.68
110100,0,transformer,26.57
110011,4,transformer,25.23
010101,3,lstm,23.62
011100,0,lstm,22.77
111110,0,lstm,23.62
011010,3,transformer,25.61
110111,2,transformer,25.39
010001,0,transformer,26.1
111101,1,transformer,25.77
000111,1,lstm,22.62
101011,2,transformer,24.03
000101,0,transformer,25.06
101101,0,lstm,23.53
110100,3,lstm,23.87
010011,2,lstm,23.05
001010,0,lstm,23.08
011111,4,lstm,22.61
100110,0,transformer,22.5
111110,3,transformer,27.46
011111,3,transformer,24.06
110010,2,transformer,26.6
000110,2,lstm,22.41
111110,4,lstm,23.27
111000,1,transformer,25.87
110110,1,lstm,23.22
011011,0,lstm,22.82
111001,2,lstm,23.35
001101,2,transformer,25.6
110011,0,transformer,25.68
110100,4,transformer,26.02
010000,3,lstm,23.5
011001,3,lstm,23.08
111000,0,transformer,26.53
111101,4,transformer,25.89
010010,3,transformer,27.22
111011,2,transformer,25.33
110110,0,lstm,23.66
011011,1,lstm,22.39
110011,1,transformer,24.98
000111,0,lstm,23.02
010010,4,lstm,23.13
010110,2,transformer,26.26
000101,1,transformer,24.57
101101,1,lstm,23.05
001010,1,lstm,22.61
100110,1,transformer,21.65
011001,4,transformer,23.77
010000,4,transformer,25.93
111101,3,lstm,23.94
001101,1,transformer,25.31
100101,1,lstm,22.65
100110,2,lstm,22.47
100111,0,transformer,22.73
100010,4,transformer,22.47
101001,4,lstm,23.23
100000,4,lstm,22.4
000110,1,lstm,22.25
101010,1,transformer,23.66
011000,0,lstm,22.74
000011,4,lstm,22.8
100000,3,transformer,22.7
101001,3,transformer,25.41
010011,1,lstm,22.89
111011,1,transformer,24.89
010110,0,transformer,26.93
000111,2,lstm,22.87
011000,1,lstm,22.35
111010,2,transformer,26.47
000001,4,transformer,24.77
101111,3,lstm,23.6
001010,2,lstm,22.92
110101,2,lstm,23.29
010011,0,lstm,23.35
001100,4,lstm,22.79
111011,0,transformer,25.6
000101,2,transformer,25.07
010110,1,transformer,26.38
001101,0,transformer,25.73
001100,3,transformer,24.83
100011,2,transformer,22.81
011011,2,lstm,22.61
100101,0,lstm,23.16
100111,1,transformer,22.29
000110,0,lstm,22.57
000001,3,lstm,23.39
101010,0,transformer,24.07
101111,4,transformer,23.35
100101,3,transformer,23.74
111100,0,transformer,26.55
010100,0,lstm,23.19
001011,4,lstm,23.1
011101,1,lstm,22.45
101010,3,lstm,23.46
001111,2,lstm,23.08
110001,0,lstm,23.43
011110,0,transformer,24.92
111111,2,transformer,25.22
101001,1,lstm,23.07
100000,1,lstm,22.15
101111,0,transformer,23.92
101010,4,transformer,23.76
010001,2,transformer,25.46
101110,2,lstm,22.89
100101,4,lstm,22.86
001011,3,transformer,25.67
100100,2,transformer,22.24
100010,1,transformer,21.82
100000,0,lstm,22.54
101001,0,lstm,23.55
000100,3,transformer,23.63
101101,2,transformer,24.38
101111,1,transformer,23.46
100010,0,transformer,22.7
100111,4,transformer,22.37
001110,3,lstm,23.39
111100,1,transformer,25.81
010100,1,lstm,22.81
100111,3,lstm,23.09
000010,2,lstm,22.5
001110,4,transformer,24.54
000000,2,transformer,23.74
011101,0,lstm,22.83
000100,4,lstm,22.33
110000,2,lstm,23.13
110001,1,lstm,23.05
011110,1,transformer,24.57
101000,4,transformer,23.85
101001,2,lstm,23.17
100000,2,lstm,22.45
100001,1,lstm,22.68
101100,1,transformer,23.71
100110,4,lstm,22.48
000111,3,transformer,25.3
100010,2,transformer,22.09
100110,3,transformer,22.74
010010,0,lstm,23.36
000111,4,lstm,22.99
000011,2,lstm,22.86
010000,0,transformer,26.46
011001,0,transformer,24.25
011111,1,lstm,22.46
100011,3,lstm,23.07
001100,2,lstm,22.89
110101,4,lstm,23.26
000101,4,transformer,24.83
011011,3,transformer,24.1
010010,1,lstm,23.04
011001,1,transformer,23.75
010000,1,transformer,25.86
000001,2,transformer,25.3
111010,4,transformer,27.03
011111,0,lstm,22.8
001010,4,lstm,22.96
100011,1,transformer,22.6
100001,0,lstm,23.16
111010,3,lstm,23.63
001010,3,transformer,25.18
101111,2,transformer,23.63
101100,0,transformer,24.43
100011,4,transformer,22.7
110101,3,transformer,26.4
000101,3,lstm,23.26
011011,4,lstm,22.58
010001,3,lstm,23.59
011010,0,lstm,22.83
111111,4,transformer,25.22
101110,3,transformer,24.05
011100,3,transformer,24.98
010101,0,transformer,26.18
100100,3,lstm,22.69
001011,2,lstm,23.06
010111,1,lstm,22.94
011100,4,lstm,22.43
100101,2,lstm,22.98
101011,0,transformer,24.39
100100,4,transformer,22.72
101110,1,lstm,22.8
100100,1,transformer,21.82
010001,4,transformer,25.28
001111,3,transformer,25.56
101010,2,transformer,23.59
111111,3,lstm,23.83
101110,4,lstm,22.95
101011,1,transformer,23.86
000010,3,transformer,24.02
100111,2,transformer,22.52
101110,0,lstm,23.13
000000,3,lstm,22.69
001001,3,lstm,23.58
100100,0,transformer,22.59
101101,4,transformer,23.96
001001,4,transformer,25.26
000000,4,transformer,23.26
110000,4,lstm,23.16
101101,3,lstm,23.72
000100,2,lstm,22.36
011010,1,lstm,22.36
010101,1,transformer,24.99
010111,0,lstm,23.41
000010,4,lstm,22.41
001110,2,transformer,24.39
111010,1,transformer,26.18
011101,3,transformer,24.48
110001,4,lstm,23.32
110110,2,lstm,23.4
110111,0,transformer,25.58
111100,4,transformer,25.91
110101,1,lstm,23.18
001110,0,transformer,25.03
111100,3,lstm,23.49
010111,2,lstm,23.06
001011,1,lstm,22.89
011101,4,lstm,22.7
110001,3,transformer,26.39
001110,1,transformer,24.13
001011,0,lstm,23.37
010100,4,lstm,23.01
101100,4,transformer,23.5
010101,2,transformer,25.4
011110,4,transformer,24.6
100001,4,lstm,22.85
110111,3,lstm,23.55
011010,2,lstm,22.54
000100,1,lstm,22.09
011110,3,lstm,23.04
100001,3,transformer,23.78
111010,0,transformer,27.15
110111,4,transformer,25.22
110111,1,transformer,24.98
010100,3,transformer,26.65
110011,2,transformer,25.51
101100,3,lstm,23.28
110101,0,lstm,23.58
110010,3,lstm,24.13
011111,2,lstm,22.74
000001,0,transformer,25.07
000110,3,transformer,24.14
000011,1,lstm,22.66
111001,3,transformer,26.35
101011,4,transformer,23.59
001100,0,lstm,22.96
010011,4,lstm,22.96
001101,3,lstm,23.61
110010,1,transformer,26.4
111001,4,lstm,23.48
101011,3,lstm,23.47
010011,3,transformer,25.88
110100,2,transformer,26.44
001101,4,transformer,25.2
111111,0,transformer,25.8
110010,4,transformer,26.5
111110,2,lstm,23.19
111001,1,lstm,23.29
110000,1,lstm,23.1
110010,0,transformer,26.88
111011,4,transformer,25.35
010110,3,lstm,23.62
111111,1,transformer,24.69
110000,0,lstm,23.36
111001,0,lstm,23.74
011000,3,transformer,25.07
111101,2,transformer,25.8
000001,1,transformer,24.58
011001,2,transformer,24.1
010000,2,transformer,25.8
000011,0,lstm,23.06
111011,3,lstm,23.83
010010,2,lstm,23.09
010110,4,transformer,26.29
001100,1,lstm,22.59
001001,4,lstm,23.17
000000,4,lstm,22.32
110000,4,transformer,26.06
101101,3,transformer,24.97
000100,2,transformer,23.54
011010,1,transformer,24.5
010101,1,lstm,22.97
010111,0,transformer,25.71
000010,4,transformer,23.42
001110,2,lstm,22.84
101011,1,lstm,23.02
000010,3,lstm,22.72
100111,2,lstm,22.91
101110,0,transformer,23.83
000000,3,transformer,24.24
001001,3,transformer,26.2
100100,0,lstm,22.58
101101,4,lstm,23.27
011100,4,transformer,24.18
100101,2,transformer,23.17
101011,0,lstm,23.53
100100,4,lstm,22.36
101110,1,transformer,23.4
100100,1,lstm,22.24
010001,4,lstm,23.15
001111,3,lstm,23.55
101010,2,lstm,23
111111,3,transformer,25.42
101110,4,transformer,23.46
010001,3,transformer,26.25
011010,0,transformer,25.05
111111,4,lstm,23.4
101110,3,lstm,23.39
011100,3,lstm,22.7
010101,0,lstm,23.43
100100,3,transformer,22.52
001011,2,transformer,25.24
010111,1,transformer,24.76
100011,1,lstm,22.67
100001,0,transformer,23.54
111010,3,transformer,27.46
001010,3,lstm,23.34
101111,2,lstm,23.25
101100,0,lstm,23
100011,4,lstm,22.79
110101,3,lstm,23.58
000101,3,transformer,25.86
011011,4,transformer,23.67
100011,3,transformer,23.01
001100,2,transformer,24.33
110101,4,transformer,25.66
000101,4,lstm,22.96
011011,3,lstm,22.83
010010,1,transformer,26.23
011001,1,lstm,22.43
010000,1,lstm,22.83
000001,2,lstm,22.95
111010,4,lstm,23.23
011111,0,transformer,24.12
001010,4,transformer,24.53
100110,3,lstm,22.79
010010,0,transformer,26.92
000111,4,transformer,24.73
000011,2,transformer,24.69
010000,0,lstm,23.19
011001,0,lstm,22.86
011111,1,transformer,23.97
101000,4,lstm,22.74
101001,2,transformer,24.65
100000,2,transformer,22.31
100001,1,transformer,23.06
101100,1,lstm,22.66
100110,4,transformer,22.33
000111,3,lstm,23.12
100010,2,lstm,22.46
000001,1,lstm,22.74
011001,2,lstm,22.83
010000,2,lstm,22.95
000011,0,transformer,24.74
111011,3,transformer,25.5
010010,2,transformer,26.18
010110,4,lstm,23.16
001100,1,transformer,24.06
110010,0,lstm,23.64
111011,4,lstm,23.5
010110,3,transformer,27.48
111111,1,lstm,23.22
110000,0,transformer,26.52
111001,0,transformer,26.19
011000,3,lstm,22.61
111101,2,lstm,23.39
110010,1,lstm,23.22
111001,4,transformer,25.75
101011,3,transformer,24.29
010011,3,lstm,23.46
110100,2,lstm,23.07
001101,4,lstm,23.23
111111,0,lstm,23.68
110010,4,lstm,23.24
111110,2,transformer,26.37
111001,1,transformer,26.02
110000,1,transformer,26.04
110010,3,transformer,27.8
011111,2,transformer,23.96
000001,0,lstm,23.14
000110,3,lstm,22.74
000011,1,transformer,24.4
111001,3,lstm,23.94
101011,4,lstm,23.12
001100,0,transformer,24.61
010011,4,transformer,25
001101,3,transformer,25.96
011110,3,transformer,25.3
100001,3,lstm,23.22
111010,0,lstm,23.61
110111,4,lstm,23.32
110111,1,lstm,23.1
010100,3,lstm,23.33
110011,2,lstm,23.23
101100,3,transformer,23.66
110101,0,transformer,26.03
001110,1,lstm,22.57
001011,0,transformer,25.29
010100,4,transformer,25.81
101100,4,lstm,22.75
010101,2,lstm,23.16
011110,4,lstm,22.63
100001,4,transformer,23.28
110111,3,transformer,25.61
011010,2,transformer,24.46
000100,1,transformer,23.1
001110,0,lstm,23.05
111100,3,transformer,26.7
010111,2,transformer,25.03
001011,1,transformer,25.02
011101,4,transformer,23.81
110001,3,lstm,23.59
111010,1,lstm,23.07
011101,3,lstm,23.15
110001,4,transformer,25.72
110110,2,transformer,26.86
110111,0,lstm,23.52
111100,4,lstm,23.11
110101,1,transformer,25.44
